metric,value
total_trials,360
n_screening_score_100,253
n_screening_score_80,18
n_screening_score_50_added,89
n_screening_score_50_available,187
condition_VnSn_count,78
condition_VnSp_count,99
condition_VpSn_count,81
condition_VpSp_count,102
visual_similarity_score_min,0.8895
visual_similarity_score_max,1.0
visual_similarity_score_mean,0.9885
graph_similarity_score_min,-0.531
graph_similarity_score_max,1.0
graph_similarity_score_mean,0.4744
missing_image_pairs_excluded,0
duplicate_pairs_removed,0
unique_images_used,582
max_image_occurrence,5
mean_image_occurrence,1.237
